# Kodak Portra 400: characteristic curves from the Kodak Alaris datasheet E-4050 (February 2016), page 4.
# Status M density versus log exposure (lux-seconds), daylight, normal C-41 process; read from the PDF's
# vector paths, axes calibrated, resampled to 0.1 log H (error < 0.01 D).
# straight: -2.2 -0.2      <- log H range over which the straight-line part is fitted
# logH	D_R	D_G	D_B
-3.40	0.220	0.647	0.868
-3.30	0.223	0.649	0.871
-3.20	0.226	0.652	0.874
-3.10	0.230	0.656	0.878
-3.00	0.235	0.660	0.890
-2.90	0.238	0.665	0.910
-2.80	0.250	0.680	0.941
-2.70	0.269	0.702	0.986
-2.60	0.299	0.735	1.039
-2.50	0.340	0.779	1.098
-2.40	0.388	0.829	1.160
-2.30	0.441	0.885	1.222
-2.20	0.493	0.941	1.285
-2.10	0.544	0.997	1.347
-2.00	0.595	1.053	1.410
-1.90	0.647	1.109	1.473
-1.80	0.698	1.165	1.536
-1.70	0.751	1.221	1.599
-1.60	0.804	1.276	1.662
-1.50	0.857	1.331	1.725
-1.40	0.910	1.386	1.789
-1.30	0.964	1.442	1.852
-1.20	1.019	1.497	1.916
-1.10	1.073	1.553	1.979
-1.00	1.127	1.608	2.043
-0.90	1.182	1.663	2.108
-0.80	1.238	1.718	2.172
-0.70	1.294	1.772	2.236
-0.60	1.350	1.828	2.299
-0.50	1.406	1.883	2.363
-0.40	1.462	1.938	2.427
-0.30	1.519	1.993	2.492
-0.20	1.576	2.046	2.556
-0.10	1.633	2.100	2.621
 0.00	1.690	2.155	2.686
 0.10	1.747	2.209	2.750
 0.20	1.805	2.264	2.815
 0.30	1.862	2.318	2.880
 0.40	1.920	2.373	2.945
 0.50	1.979	2.427	3.010
